curve,cutoff,horizon,arm,actual,pred,mape,difficulty
run_5,5,1,A_domhan,1.0587522983551025,1.0534279700631992,0.5028870586798537,Medium
run_5,5,2,A_domhan,1.0229768753051758,1.011726679066911,1.0997507871239571,Medium
run_5,5,3,A_domhan,0.9967988729476929,0.9782900661882561,1.8568246074258985,Medium
run_5,5,1,B_lcpfn,1.0587522983551025,1.0473580360412598,1.0761971739324783,Medium
run_5,5,2,B_lcpfn,1.0229768753051758,1.0141533613204956,0.8625330833649523,Medium
run_5,5,3,B_lcpfn,0.9967988729476929,0.9839584231376648,1.2881685722674248,Medium
run_5,6,1,A_domhan,1.0229768753051758,1.0195942854682636,0.33066141753234635,Medium
run_5,6,2,A_domhan,0.9967988729476929,0.989447008329294,0.7375474449181749,Medium
run_5,6,3,A_domhan,0.9899071455001831,0.9650096670609379,2.5151327124388922,Medium
run_5,6,1,B_lcpfn,1.0229768753051758,1.009134292602539,1.3531667271078032,Medium
run_5,6,2,B_lcpfn,0.9967988729476929,0.9829240441322327,1.391938654026577,Medium
run_5,6,3,B_lcpfn,0.9899071455001831,0.9601791501045227,3.003109486661939,Medium
run_5,7,1,A_domhan,0.9967988729476929,0.9953529836328925,0.14505326541197436,Medium
run_5,7,2,A_domhan,0.9899071455001831,0.9732411565962629,1.6835911307114768,Medium
run_5,7,3,A_domhan,0.9879242181777954,0.9551393539699675,3.318560634974498,Medium
run_5,7,1,B_lcpfn,0.9967988729476929,0.9827377200126648,1.4106309022448038,Medium
run_5,7,2,B_lcpfn,0.9899071455001831,0.9636709690093994,2.6503674218380353,Medium
run_5,7,3,B_lcpfn,0.9879242181777954,0.9470043778419495,4.142001945384202,Medium
run_6,3,1,A_domhan,1.4136420488357544,1.503190594939378,6.334598364371935,Hard
run_6,3,2,A_domhan,1.3518778085708618,1.469247550901651,8.681978621637896,Hard
run_6,3,3,A_domhan,1.302024006843567,1.4486151908734555,11.25871591148787,Hard
run_6,3,1,B_lcpfn,1.4136420488357544,1.4793140888214111,4.645591862504574,Hard
run_6,3,2,B_lcpfn,1.3518778085708618,1.4647268056869507,8.347573752644644,Hard
run_6,3,3,B_lcpfn,1.302024006843567,1.4394359588623047,10.553718771427176,Hard
run_6,4,1,A_domhan,1.3518778085708618,1.3768164868050208,1.8447435172061073,Hard
run_6,4,2,A_domhan,1.302024006843567,1.33462746508026,2.504059684408751,Hard
run_6,4,3,A_domhan,1.2651256322860718,1.3044739408932495,3.1102293403126833,Hard
run_6,4,1,B_lcpfn,1.3518778085708618,1.353936791419983,0.1523053959512619,Hard
run_6,4,2,B_lcpfn,1.302024006843567,1.3268848657608032,1.9094009623912613,Hard
run_6,4,3,B_lcpfn,1.2651256322860718,1.2921955585479736,2.1397026169635596,Hard
run_6,5,1,A_domhan,1.302024006843567,1.297487726427299,0.3484022101301296,Hard
run_6,5,2,A_domhan,1.2651256322860718,1.2557468708873623,0.7413304386033328,Hard
run_6,5,3,A_domhan,1.2361098527908325,1.2223251164414601,1.1151708174034722,Hard
run_6,5,1,B_lcpfn,1.302024006843567,1.2951643466949463,0.5268459039591862,Hard
run_6,5,2,B_lcpfn,1.2651256322860718,1.2630761861801147,0.16199546145102592,Hard
run_6,5,3,B_lcpfn,1.2361098527908325,1.232058048248291,0.32778676857833666,Hard
run_6,6,1,A_domhan,1.2651256322860718,1.259982546322708,0.4065276864298738,Hard
run_6,6,2,A_domhan,1.2361098527908325,1.2277748661042929,0.6742917441941988,Hard
run_6,6,3,A_domhan,1.2273521423339844,1.2014127947327373,2.113439713554392,Hard
run_6,6,1,B_lcpfn,1.2651256322860718,1.255763053894043,0.7400512765764381,Hard
run_6,6,2,B_lcpfn,1.2361098527908325,1.2296481132507324,0.5227480005527888,Hard
run_6,6,3,B_lcpfn,1.2273521423339844,1.2066816091537476,1.6841566871695732,Hard
run_6,7,1,A_domhan,1.2361098527908325,1.2315277939629379,0.3706837881398225,Hard
run_6,7,2,A_domhan,1.2273521423339844,1.206040102729339,1.7364241988544111,Hard
run_6,7,3,A_domhan,1.2221612930297852,1.184802574116368,3.056774840316169,Hard
run_6,7,1,B_lcpfn,1.2361098527908325,1.2272855043411255,0.7138806012899112,Hard
run_6,7,2,B_lcpfn,1.2273521423339844,1.2076977491378784,1.6013654531722523,Hard
run_6,7,3,B_lcpfn,1.2221612930297852,1.189984679222107,2.632763285107087,Hard
run_7,3,1,A_domhan,1.2569283246994019,1.338611672044283,6.498647992869129,Hard
run_7,3,2,A_domhan,1.2005165815353394,1.3114840987952705,9.243314000545908,Hard
run_7,3,3,A_domhan,1.1454106569290161,1.2953251593871347,13.088275506363576,Hard
run_7,3,1,B_lcpfn,1.2569283246994019,1.313868522644043,4.530106993830259,Hard
run_7,3,2,B_lcpfn,1.2005165815353394,1.3015713691711426,8.417608651982496,Hard
run_7,3,3,B_lcpfn,1.1454106569290161,1.2800133228302002,11.75147665048534,Hard
run_7,4,1,A_domhan,1.2005165815353394,1.2052952408772881,0.39805025731817406,Hard
run_7,4,2,A_domhan,1.1454106569290161,1.1600092510147064,1.2745292701249085,Hard
run_7,4,3,A_domhan,1.1067901849746704,1.1252546707966493,1.668291431623192,Hard
run_7,4,1,B_lcpfn,1.2005165815353394,1.2058383226394653,0.4432875968543481,Hard
run_7,4,2,B_lcpfn,1.1454106569290161,1.1825798749923706,3.2450560712443206,Hard
run_7,4,3,B_lcpfn,1.1067901849746704,1.15261971950531,4.140760837311589,Hard
